              -2               2             100
             -15           -0.22             100
           -1.88         -1.2546         1.68564         1.95864
           -1.88         -1.1068         1.71702         1.94413
           -1.88          -0.959         1.75595         1.93105
           -1.88         -0.8112         1.80408         1.92473
           -1.88         -0.6634         1.86344         1.93931
           -1.88         -0.5156          1.9365         2.01341
           -1.88         -0.3678         2.02624         2.25893
           -1.84             -15         1.51673         2.04773
           -1.84        -14.8522         1.51673         2.04756
           -1.84        -14.7044         1.51673          2.0474
           -1.84        -14.5566         1.51673         2.04722
           -1.84        -14.4088         1.51673         2.04705
           -1.84         -14.261         1.51673         2.04687
           -1.84        -14.1132         1.51672         2.04668
           -1.84        -13.9654         1.51672          2.0465
           -1.84        -13.8176         1.51672          2.0463
           -1.84        -13.6698         1.51672         2.04611
           -1.84         -13.522         1.51671         2.04591
           -1.84        -13.3742         1.51671          2.0457
           -1.84        -13.2264         1.51671          2.0455
           -1.84        -13.0786          1.5167         2.04528
           -1.84        -12.9308          1.5167         2.04506
           -1.84         -12.783         1.51669         2.04484
           -1.84        -12.6352         1.51669         2.04461
           -1.84        -12.4874         1.51668         2.04438
           -1.84        -12.3396         1.51667         2.04414
           -1.84        -12.1918         1.51666         2.04389
           -1.84         -12.044         1.51666         2.04364
           -1.84        -11.8962         1.51665         2.04338
           -1.84        -11.7484         1.51664         2.04312
           -1.84        -11.6006         1.51663         2.04285
           -1.84        -11.4528         1.51661         2.04257
           -1.84         -11.305          1.5166         2.04228
           -1.84        -11.1572         1.51659         2.04199
           -1.84        -11.0094         1.51657         2.04169
           -1.84        -10.8616         1.51655         2.04138
           -1.84        -10.7138         1.51653         2.04106
           -1.84         -10.566         1.51651         2.04074
           -1.84        -10.4182         1.51649          2.0404
           -1.84        -10.2704         1.51646         2.04006
           -1.84        -10.1226         1.51643          2.0397
           -1.84         -9.9748          1.5164         2.03933
           -1.84          -9.827         1.51637         2.03896
           -1.84         -9.6792         1.51633         2.03857
           -1.84         -9.5314         1.51629         2.03817
           -1.84         -9.3836         1.51625         2.03776
           -1.84         -9.2358          1.5162         2.03733
           -1.84          -9.088         1.51614         2.03689
           -1.84         -8.9402         1.51608         2.03643
           -1.84         -8.7924         1.51602         2.03596
           -1.84         -8.6446         1.51595         2.03548
           -1.84         -8.4968         1.51587         2.03498
           -1.84          -8.349         1.51578         2.03445
           -1.84         -8.2012         1.51569         2.03392
           -1.84         -8.0534         1.51559         2.03336
           -1.84         -7.9056         1.51548         2.03278
           -1.84         -7.7578         1.51535         2.03217
           -1.84           -7.61         1.51522         2.03155
           -1.84         -7.4622         1.51508          2.0309
           -1.84         -7.3144         1.51492         2.03022
           -1.84         -7.1666         1.51474         2.02952
           -1.84         -7.0188         1.51456         2.02878
           -1.84          -6.871         1.51435         2.02802
           -1.84         -6.7232         1.51413         2.02722
           -1.84         -6.5754         1.51389         2.02638
           -1.84         -6.4276         1.51363         2.02551
           -1.84         -6.2798         1.51335          2.0246
           -1.84          -6.132         1.51305         2.02364
           -1.84         -5.9842         1.51272         2.02263
           -1.84         -5.8364         1.51237         2.02158
           -1.84         -5.6886           1.512         2.02046
           -1.84         -5.5408          1.5116         2.01929
           -1.84          -5.393         1.51117         2.01806
           -1.84         -5.2452         1.51073         2.01676
           -1.84         -5.0974         1.51026         2.01538
           -1.84         -4.9496         1.50977         2.01392
           -1.84         -4.8018         1.50926         2.01237
           -1.84          -4.654         1.50875         2.01072
           -1.84         -4.5062         1.50823         2.00897
           -1.84         -4.3584         1.50771          2.0071
           -1.84         -4.2106         1.50722          2.0051
           -1.84         -4.0628         1.50676         2.00295
           -1.84          -3.915         1.50635         2.00065
           -1.84         -3.7672         1.50602         1.99817
           -1.84         -3.6194         1.50581         1.99549
           -1.84         -3.4716         1.50575         1.99258
           -1.84         -3.3238         1.50591         1.98943
           -1.84          -3.176         1.50633         1.98599
           -1.84         -3.0282         1.50712         1.98223
           -1.84         -2.8804         1.50835          1.9781
           -1.84         -2.7326         1.51017         1.97355
           -1.84         -2.5848         1.51272         1.96852
           -1.84          -2.437          1.5162         1.96292
           -1.84         -2.2892         1.52082         1.95668
           -1.84         -2.1414         1.52687         1.94968
           -1.84         -1.9936          1.5347          1.9418
           -1.84         -1.8458         1.54473          1.9329
           -1.84          -1.698         1.55748         1.92284
           -1.84         -1.5502         1.57356         1.91148
           -1.84         -1.4024         1.59375         1.89875
           -1.84         -1.2546         1.61897         1.88481
